OBJECTID,CartoCode,County,created_date,last_edited_date,Shape__Length
1,4 - Road-concurrent,SAN JUAN,6/2/2021 19:39,6/2/2021 19:39,606.3575712
2,4 - Road-concurrent,SAN JUAN,6/3/2021 19:39,6/3/2021 19:39,864.3596002
3,4 - Road-concurrent,SAN JUAN,6/4/2021 19:39,6/4/2021 19:39,267.8461108
4,4 - Road-concurrent,SAN JUAN,6/5/2021 19:39,6/5/2021 19:39,353.1531175
5,4 - Road-concurrent,SAN JUAN,6/6/2021 19:39,6/6/2021 19:39,1668.530579
6,4 - Road-concurrent,SAN JUAN,6/7/2021 19:39,6/7/2021 19:39,655.7691352
7,4 - Road-concurrent,SAN JUAN,6/8/2021 19:39,6/8/2021 19:39,158.1016762
8,4 - Road-concurrent,SAN JUAN,6/9/2021 19:39,6/9/2021 19:39,2245.295477
9,4 - Road-concurrent,SAN JUAN,6/10/2021 19:39,6/10/2021 19:39,854.003424
10,4 - Road-concurrent,SAN JUAN,6/11/2021 19:39,6/11/2021 19:39,152.2595272
11,4 - Road-concurrent,SAN JUAN,6/12/2021 19:39,6/12/2021 19:39,1203.643649
12,4 - Road-concurrent,SAN JUAN,6/13/2021 19:39,6/13/2021 19:39,1226.840133
13,4 - Road-concurrent,SAN JUAN,6/14/2021 19:39,6/14/2021 19:39,111.8677419
14,4 - Road-concurrent,SAN JUAN,6/15/2021 19:39,6/15/2021 19:39,1411.723454
15,4 - Road-concurrent,WASHINGTON,6/16/2021 19:39,6/16/2021 19:39,12952.82154
16,4 - Road-concurrent,WASHINGTON,6/17/2021 19:39,6/17/2021 19:39,4117.706752
17,2 - Hiking and Biking Allowed,WASHINGTON,6/18/2021 19:39,6/18/2021 19:39,10342.97523
18,4 - Road-concurrent,SAN JUAN,6/19/2021 19:39,6/19/2021 19:39,3161.61204
19,4 - Road-concurrent,WASHINGTON,6/20/2021 19:39,6/20/2021 19:39,639.4427857
20,4 - Road-concurrent,WASHINGTON,6/21/2021 19:39,6/21/2021 19:39,4997.895771
21,4 - Road-concurrent,WASHINGTON,6/22/2021 19:39,6/22/2021 19:39,484.1536597
22,4 - Road-concurrent,WASHINGTON,6/23/2021 19:39,6/23/2021 19:39,526.7271633
23,4 - Road-concurrent,SAN JUAN,6/24/2021 19:39,6/24/2021 19:39,484.7136128
24,4 - Road-concurrent,SAN JUAN,6/25/2021 19:39,6/25/2021 19:39,633.9914612
25,2 - Hiking and Biking Allowed,KANE,6/26/2021 19:39,6/26/2021 19:39,3.999498252
26,2 - Hiking and Biking Allowed,KANE,6/27/2021 19:39,6/27/2021 19:39,2.684032454
27,2 - Hiking and Biking Allowed,KANE,6/28/2021 19:39,6/28/2021 19:39,7437.248097
28,2 - Hiking and Biking Allowed,KANE,6/29/2021 19:39,6/29/2021 19:39,150.2989133
29,2 - Hiking and Biking Allowed,KANE,6/30/2021 19:39,6/30/2021 19:39,5.566652847
30,4 - Road-concurrent,WASHINGTON,7/1/2021 19:39,7/1/2021 19:39,11826.38154
31,2 - Hiking and Biking Allowed,KANE,7/2/2021 19:39,7/2/2021 19:39,339.9642059
32,2 - Hiking and Biking Allowed,KANE,7/3/2021 19:39,7/3/2021 19:39,3.050098939
33,2 - Hiking and Biking Allowed,KANE,7/4/2021 19:39,7/4/2021 19:39,302.6008769
34,2 - Hiking and Biking Allowed,KANE,7/5/2021 19:39,7/5/2021 19:39,272.5844773
35,2 - Hiking and Biking Allowed,KANE,7/6/2021 19:39,7/6/2021 19:39,1087.293095
36,4 - Road-concurrent,WASHINGTON,7/7/2021 19:39,7/7/2021 19:39,517.3654518
37,4 - Road-concurrent,WASHINGTON,7/8/2021 19:39,7/8/2021 19:39,300.7951009
38,4 - Road-concurrent,WASHINGTON,7/9/2021 19:39,7/9/2021 19:39,249.0368252
39,4 - Road-concurrent,WASHINGTON,7/10/2021 19:39,7/10/2021 19:39,927.0266955
40,1 - Hiking Only,WASHINGTON,7/11/2021 19:39,7/11/2021 19:39,567.5107322
41,1 - Hiking Only,WASHINGTON,7/12/2021 19:39,7/12/2021 19:39,247.5646566
42,4 - Road-concurrent,WASHINGTON,7/13/2021 19:39,7/13/2021 19:39,3357.997215
43,4 - Road-concurrent,WASHINGTON,7/14/2021 19:39,7/14/2021 19:39,552.6818721
44,4 - Road-concurrent,WASHINGTON,7/15/2021 19:39,7/15/2021 19:39,247.0556449
45,4 - Road-concurrent,WASHINGTON,7/16/2021 19:39,7/16/2021 19:39,1634.450211
46,1 - Hiking Only,WASHINGTON,7/17/2021 19:39,7/17/2021 19:39,866.3027833
47,1 - Hiking Only,WASHINGTON,7/18/2021 19:39,7/18/2021 19:39,289.3629243
48,1 - Hiking Only,WASHINGTON,7/19/2021 19:39,7/19/2021 19:39,565.5632473
49,1 - Hiking Only,WASHINGTON,7/20/2021 19:39,7/20/2021 19:39,397.9498329
50,4 - Road-concurrent,WASHINGTON,7/21/2021 19:39,7/21/2021 19:39,1152.196989
51,1 - Hiking Only,WASHINGTON,7/22/2021 19:39,7/22/2021 19:39,188.3794211
52,4 - Road-concurrent,WASHINGTON,7/23/2021 19:39,7/23/2021 19:39,184.2941966
53,4 - Road-concurrent,WASHINGTON,7/24/2021 19:39,7/24/2021 19:39,2154.01784
54,4 - Road-concurrent,WASHINGTON,7/25/2021 19:39,7/25/2021 19:39,5053.127125
55,4 - Road-concurrent,WASHINGTON,7/26/2021 19:39,7/26/2021 19:39,3849.413922
